,ID,DESCRIPT,COEF
0,isoc.ci.in.h,Households -  level of internet access,0.143
1,ilc.mddd13,Severe material deprivation rate by income quintile and household type,-0.21
2,WJQ.E,"Work and Job Quality, Earnings",-0.052
3,ilc.mdes02,Inability to afford paying for one week annual holiday away from home - EU-SILC survey,0.193
4,ilc.mdho07,Persons who cannot afford to replace worn-out furniture by income group and type of household,-0.344
5,isoc.ci.cm.h,Households - availability of computers,-0.014
6,SH.PRG.ANEM,Prevalence of anemia among pregnant women (%),-0.008
7,ilc.mded03,Total housing costs in pps - EU-SILC survey,0.09
8,NY.GNP.PCAP.PP.KD,"GNI per capita, PPP (constant 2017 international $)",0.072
9,educ.uoe.enra29,"Out-of-school rate in population of upper secondary school age, by sex",-0.108
10,icw.sr.03,Median saving rate by income quintile - experimental statistics,-0.015
