index,id-number,type,description,source
EXP.FREE.LIFE,1,Target,Happiness explained by Freedom to make life choices,World Happiness Report
EXP.GDP.PER.CAPITA,2,Target,Happiness Score explained by GDP per capita,World Happiness Report
EXP.GEN,3,Target,Happiness explained by Generosity,World Happiness Report
EXP.HEAL.LIFE,4,Target,Happiness Score explained by Healthy life expectancy,World Happiness Report
EXP.SOC.SUPP,5,Target,Happiness Score explained by Social support,World Happiness Report
EXP.TRUST,6,Target,Happiness explained by Perceptions of corruption,World Happiness Report
HAP.SCORE,7,Target,Happiness Score,World Happiness Report
crim.gen,8,Safety,Crimes recorded by the police by by offence category,Eurostat
crim.hom.vage,9,Safety,Intentional homicide victims by age and sex - number and rate for the relevant sex and age groups,Eurostat
crim.plce,10,Safety,Police officers,Eurostat
crim.pris.age,11,Safety,Prisoners by age and sex - number and rate for the relevant sex and age groups,Eurostat
crim.pris.pop,12,Safety,Prison population,Eurostat
ilc.mddw03,13,Safety,"Crime, violence or vandalism in the area - EU-SILC survey",Eurostat
MS.MIL.TOTL.TF.ZS,14,Safety,Armed forces personnel (% of total labor force),World Data Bank
MS.MIL.XPND.GD.ZS,15,Safety,Military expenditure (% of GDP),World Data Bank
SAF.FSA,16,Safety,"Safety, Feeling safe at night",OECD How's Life
SAF.H,17,Safety,"Safety, Homicides",OECD How's Life
SAF.RD,18,Safety,"Safety, Road deaths",OECD How's Life
VC.IHR.PSRC.FE.P5,19,Safety,"Intentional homicides, female (per 100,000 female)",World Data Bank
VC.IHR.PSRC.MA.P5,20,Safety,"Intentional homicides, male (per 100,000 male)",World Data Bank
VC.IHR.PSRC.P5,21,Safety,"Intentional homicides (per 100,000 people)",World Data Bank
demo.minfedu,22,Health,Infant mortality by mother's educational attainment level (ISCED11f) and father's educational attainment level (ISCED11),Eurostat
HLT.DFS,23,Health,"Health, Deaths from suicide, alcohol, drugs",OECD How's Life
HLT.PH,24,Health,"Health, Perceived health",OECD How's Life
hlth.ehis.al2e,25,Health,"Hazardous alcohol drinkers by sex, age and educational attainment level",Eurostat
hlth.ehis.pe6e,26,Health,"Walking and cycling at least 30 minutes per day by sex, age and educational attainment level",Eurostat
hlth.ehis.pn1e,27,Health,"Severity of bodily pain by sex, age and educational attainment level. Only levels = S_VS",Eurostat
hlth.silc.01,28,Health,"Self-perceived health by sex, age and labour status. Only wstatus = POP. Only age = Y_GE16. Only levels = VGOOD",Eurostat
hlth.silc.04,29,Health,"People having a long-standing illness or health problem, by sex, age and labour status. Unit is Percentage %. Only wstatus = POP. Only age = Y_GE16",Eurostat
SH.DTH.0509,30,Health,Number of deaths ages 5-9 years,World Data Bank
SH.DTH.1014,31,Health,Number of deaths ages 10-14 years,World Data Bank
SH.DTH.1519,32,Health,Number of deaths ages 15-19 years,World Data Bank
SH.DTH.2024,33,Health,Number of deaths ages 20-24 years,World Data Bank
SH.DTH.IMRT,34,Health,Number of infant deaths,World Data Bank
SH.DTH.MORT,35,Health,Number of under-five deaths,World Data Bank
SH.DTH.NMRT,36,Health,Number of neonatal deaths,World Data Bank
SH.DYN.0509,37,Health,"Probability of dying among children ages 5-9 years (per 1,000)",World Data Bank
SH.DYN.1014,38,Health,"Probability of dying among adolescents ages 10-14 years (per 1,000)",World Data Bank
SH.DYN.1519,39,Health,"Probability of dying among adolescents ages 15-19 years (per 1,000)",World Data Bank
SH.DYN.2024,40,Health,"Probability of dying among youth ages 20-24 years (per 1,000)",World Data Bank
SH.DYN.MORT,41,Health,"Mortality rate, under-5 (per 1,000 live births)",World Data Bank
SH.DYN.MORT.FE,42,Health,"Mortality rate, under-5, female (per 1,000 live births)",World Data Bank
SH.DYN.MORT.MA,43,Health,"Mortality rate, under-5, male (per 1,000 live births)",World Data Bank
SH.DYN.NCOM.FE.ZS,44,Health,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",World Data Bank
SH.DYN.NCOM.MA.ZS,45,Health,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",World Data Bank
SH.DYN.NCOM.ZS,46,Health,"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",World Data Bank
SH.DYN.NMRT,47,Health,"Mortality rate, neonatal (per 1,000 live births)",World Data Bank
SH.IMM.HEPB,48,Health,"Immunization, HepB3 (% of one-year-old children)",World Data Bank
SH.IMM.IDPT,49,Health,"Immunization, DPT (% of children ages 12-23 months)",World Data Bank
SH.IMM.MEAS,50,Health,"Immunization, measles (% of children ages 12-23 months)",World Data Bank
SH.MED.BEDS.ZS,51,Health,"Hospital beds (per 1,000 people)",World Data Bank
SH.MED.NUMW.P3,52,Health,"Nurses and midwives (per 1,000 people)",World Data Bank
SH.MED.PHYS.ZS,53,Health,"Physicians (per 1,000 people)",World Data Bank
