,Description,Category,Unit of measure,P-value,Scoring method,Higher = Better,SVN,AUT,DEU,Δ AUT,Δ DEU
ilc.hcmp03,Share of population living in a dwelling not comfortably cool during summer time by income quintile and degree of urbanisation,Socioeconomics,%,0.0,L,0,17.3,15.0,13.6,-0.13294797687861276,-0.21387283236994226
ilc.hcmp05,Share of population having moved to other dwelling within the last five year period by tenure status and degree of urbanisation,Socioeconomics,%,4.555808656036447e-05,L,0,10.9,20.2,21.9,0.4246575342465753,0.502283105022831
SP.DYN.CDRT.IN,"Death rate, crude (per 1,000 people)",Health,,4.555808656036447e-05,L/F,0,9.600000000000001,9.4,11.1375,-0.01795735129068472,0.13804713804713786
isoc.ci.in.h,Households -  level of internet access,Socioeconomics,% of households,6.83371298405467e-05,L,1,81.22222222222223,85.11111111111111,91.33333333333333,-0.04257907542579072,-0.11070559610705584
isoc.r.iacc.h,Households with access to the internet at home,Socioeconomics,% of households,6.83371298405467e-05,L,1,81.22222222222223,85.11111111111111,91.33333333333333,-0.04257907542579072,-0.11070559610705584
ilc.chmd04,Mean number of deprivation items among the children deprived (children aged 1 to 15),Socioeconomics,%,0.00011389521640091117,L,0,5.0,4.5,4.7,-0.1,-0.05999999999999996
ilc.ats10,"Persons participating in training related to professional activity by sex, age, income group, most frequent activity status and educational attainment level. Only wstatus = POP. Only age = Y_GE16",Socioeconomics,%,0.00015945330296127563,L,1,27.4,26.8,23.9,0.021897810218978027,0.12773722627737227
SH.PRG.ANEM,Prevalence of anemia among pregnant women (%),Health,,0.00018223234624145787,L,0,22.562500000000004,17.35,15.712499999999999,-0.2310249307479225,-0.3036011080332412
ilc.mded03,Total housing costs in pps - EU-SILC survey,Socioeconomics,Purchasing Power Standard (PPS),0.0002050113895216401,L,0,332.6666666666667,515.3777777777779,714.3333333333333,0.25577850365531196,0.5342977134857675
hlth.silc.01,"Self-perceived health by sex, age and labour status. Only wstatus = POP. Only age = Y_GE16. Only levels = VGOOD",Health,%,0.00035955056179775283,F,0,21.38888888888889,32.56666666666666,18.07777777777778,0.3432275673831456,-0.10167178437393379
SP.DYN.TO65.MA.ZS,"Survival to age 65, male (% of cohort)",Health,,0.00036446469248291574,L,1,84.506181825,85.971281975,85.0614139,-0.01704173901263961,-0.006458343556647963
lfso.16elvncom,"Early leavers from education and training who started but never completed upper secondary education by sex, age and reason for not completing",Socioeconomics,number in thousands,0.000651685393258427,R,0,3.6,19.5,53.2,0.2988721804511278,0.9323308270676691
ilc.pnp10,Gender differences in the relative median income ratio (65+) - EU-SILC survey,Socioeconomics,,0.003752808988764045,F,1,0.868888888888889,0.9477777777777777,0.9466666666666667,-0.08323563892145347,-0.08206330597889784
SE.SEC.TCHR.FE.ZS,"Secondary education, teachers (% female)",Socioeconomics,%,0.004134831460674157,F,1,73.3063247680664,64.83846718924386,62.29185819625855,0.11551332856494945,0.15025260926197678
HH.HA,"Housing, Housing affordability",Socioeconomics,%,0.004539325842696629,R,1,81.04675366817206,79.09256020211966,79.29855246031337,0.024111927715864023,0.021570280470656563
WJQ.LHI,"Work and Job Quality, Long hours in paid work",Jobs,%,0.005415730337078652,R,0,4.851097765267762,6.89698431658443,4.557337375081904,0.2966349432457235,-0.04259258491852516
SAF.H,"Safety, Homicides",Safety,average per 100k population,0.009078651685393258,R,0,0.7500000000000001,0.4875,0.4375,-0.3500000000000001,-0.41666666666666674
