,age,region,grades,responsibility,employment,competition,gini,privatization
0,0-25,osrednjeslovenska,spomin,10,4,7,5,6
1,0-25,osrednjeslovenska,e,10,7,5,5,6
2,0-25,osrednjeslovenska,c,9,9,7,5,9
3,0-25,podravska,b,9,8,9,7,6
4,0-25,goriska,e,9,10,7,7,7
5,0-25,osrednjeslovenska,spomin,8,10,6,4,7
6,0-25,osrednjeslovenska,a,7,5,9,9,5
7,0-25,gorenjska,c,9,6,6,7,7
8,0-25,osrednjeslovenska,spomin,8,3,9,6,6
9,0-25,osrednjeslovenska,c,10,8,8,4,8
10,0-25,osrednjeslovenska,b,9,5,8,6,9
11,0-25,gorenjska,nula,6,3,4,5,8
12,0-25,gorenjska,c,8,5,10,5,3
13,0-25,osrednjeslovenska,b,6,5,6,2,7
14,0-25,obalno_kraska,c,8,8,7,7,6
15,0-25,obalno_kraska,a,4,3,5,9,2
16,0-25,obalno_kraska,d,10,10,7,8,7
17,0-25,osrednjeslovenska,spomin,9,8,9,2,6
18,0-25,pomurska,c,10,9,10,8,8
19,0-25,gorenjska,b,10,6,7,3,7
20,0-25,osrednjeslovenska,b,8,6,8,6,6
21,0-25,koroska,e,9,9,8,3,8
22,0-25,gorenjska,c,9,6,9,2,9
23,0-25,osrednjeslovenska,e,1,1,1,1,10
24,0-25,gorenjska,c,9,10,8,1,10
25,0-25,osrednjeslovenska,c,7,5,5,4,5
26,0-25,gorenjska,c,9,5,5,4,5
27,0-25,obalno_kraska,b,10,8,7,7,5
28,0-25,gorenjska,b,5,7,8,6,5
29,0-25,osrednjeslovenska,c,7,5,7,8,8
30,0-25,osrednjeslovenska,d,7,8,8,1,7
31,0-25,obalno_kraska,b,6,3,6,4,3
32,0-25,savinjska,spomin,8,6,7,7,6
33,0-25,osrednjeslovenska,c,10,8,9,3,3
34,0-25,osrednjeslovenska,spomin,8,1,5,1,8
35,0-25,gorenjska,d,8,10,6,3,8
36,0-25,jv_slovenija,b,10,10,4,3,5
37,0-25,gorenjska,b,7,5,7,8,1
38,0-25,osrednjeslovenska,d,8,7,10,1,10
